Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0526_04.csv,0526_04_mesh_11.ply,517.477,508.933,27.22,10.347,9.603,0.126,243.4890826
0526_03.csv,0526_03_mesh_6.ply,12.387,48.688,6.035,5.425,1.509,0.003,242.1893921
0526_14.csv,0526_14_mesh_2.ply,335.355,347.911,22.311,8.63,6.152,0.081,241.5350897
0526_11.csv,0526_11_mesh_5.ply,369.095,605.013,66.255,10.098,7.81,0.089,241.1303323
0526_01.csv,0526_01_mesh_5.ply,3891.798,2377.71,74.87,25.767,14.551,0.937,240.7627528
0526_14.csv,0526_14_mesh_7.ply,20.795,67.883,7.746,5.183,1.972,0.005,240.442414
0526_06.csv,0526_06_mesh_3.ply,324.418,422.807,31.935,6.573,5.359,0.078,240.4305556
0526_04.csv,0526_04_mesh_4.ply,667.621,759.038,56.804,9.949,5.509,0.16,239.6569311
0526_14.csv,0526_14_mesh_10.ply,367.85,574.697,54.714,6.46,5.259,0.088,239.2279462
0526_01.csv,0526_01_mesh_6.ply,2330.841,1926.588,99.47,18.878,12.852,0.556,238.5405096
0526_14.csv,0526_14_mesh_4.ply,33.577,84.752,12.536,3.204,2.215,0.008,238.2583316
0526_13.csv,0526_13_mesh_5.ply,561.42,466.482,23.243,8.073,6.427,0.133,236.8992911
0526_04.csv,0526_04_mesh_13.ply,507.14,494.243,32.039,7.025,5.463,0.12,236.6210514
0524_22.csv,0524_22_mesh_23.ply,38.082,107.272,8.948,10.091,2.687,0.009,236.3321254
0526_01.csv,0526_01_mesh_4.ply,135.727,316.637,31.452,7.439,5.509,0.032,235.767386
0526_07.csv,0526_07_mesh_12.ply,17.116,129.113,18.679,8.819,1.281,0.004,233.6994625
0524_22.csv,0524_22_mesh_17.ply,60.598,113.014,7.007,6.211,3.954,0.014,231.0307271
0524_21.csv,0524_21_mesh_2.ply,1450.216,968.723,34.629,17.775,8.846,0.334,230.3105193
0526_04.csv,0526_04_mesh_15.ply,289.894,394.877,35.44,6.259,4.429,0.066,227.669424
0524_15.csv,0524_15_mesh_2.ply,3015.423,1549.654,46.183,11.089,11.063,0.683,226.5022188
0526_04.csv,0526_04_mesh_12.ply,614.504,712.715,52.557,11.37,6.437,0.138,224.5713616
0526_01.csv,0526_01_mesh_7.ply,554.727,759.853,67.443,14.814,4.991,0.124,223.5333777
0524_21.csv,0524_21_mesh_13.ply,348.516,387.025,24.595,8.3,5.902,0.077,220.9367719
0526_07.csv,0526_07_mesh_20.ply,86.097,185.835,26.803,6.808,3.881,0.019,220.6813246
0526_06.csv,0526_06_mesh_5.ply,1133.255,841.177,38.845,10.27,8.09,0.25,220.6034829
0526_07.csv,0526_07_mesh_17.ply,77.478,141.48,12.46,5.822,3.406,0.017,219.4171249
0526_14.csv,0526_14_mesh_3.ply,64.18,149.222,20.69,5.404,2.844,0.014,218.1364911
0526_09.csv,0526_09_mesh_4.ply,9.241,37.384,6.4,3.6,2.757,0.002,216.4267936
0524_19.csv,0524_19_mesh_14.ply,51.052,94.675,11.16,4.333,3.094,0.011,215.4665831
0524_22.csv,0524_22_mesh_8.ply,66.788,116.081,13.528,8.345,3.594,0.014,209.6184943
0526_14.csv,0526_14_mesh_8.ply,277.355,335.111,24.489,6.338,5.254,0.058,209.118278
0526_11.csv,0526_11_mesh_2.ply,421.942,496.931,31.063,7.489,5.733,0.088,208.5594703
0524_22.csv,0524_22_mesh_1.ply,86.531,113.638,7.188,4.734,4.555,0.018,208.0179358
0526_10.csv,0526_10_mesh_7.ply,130.253,193.305,11.762,8.009,3.98,0.027,207.2888916
0524_18.csv,0524_18_mesh_1.ply,1036.54,1142.118,85.116,9.993,6.815,0.213,205.4913462
0526_04.csv,0526_04_mesh_7.ply,267.657,332.902,21.443,6.965,5.382,0.055,205.4868731
0524_22.csv,0524_22_mesh_24.ply,92.704,139.375,10.696,6.322,3.041,0.019,204.9534001
0526_07.csv,0526_07_mesh_11.ply,2074.299,1490.48,71.899,10.733,8.481,0.421,202.9601326
0526_11.csv,0526_11_mesh_12.ply,256.376,262.752,15.085,6.575,5.298,0.052,202.8270977
0524_21.csv,0524_21_mesh_10.ply,269.715,318.216,18.493,8.001,5.715,0.054,200.2113342
0524_22.csv,0524_22_mesh_6.ply,40.028,154.486,18.024,12.461,2.379,0.008,199.8600979
0526_11.csv,0526_11_mesh_10.ply,347.952,371.885,19.929,7.519,6.11,0.068,195.4292546
0526_05.csv,0526_05_mesh_2.ply,41.176,150.055,17.401,8.183,2.858,0.008,194.2879347
0524_22.csv,0524_22_mesh_9.ply,93.186,143.916,10.784,4.991,4.486,0.018,193.162063
0526_07.csv,0526_07_mesh_19.ply,88.211,240.972,39.935,4.568,4.353,0.017,192.7197288
0526_15.csv,0526_15_mesh_2.ply,15.763,75.973,11.318,5.949,2.197,0.003,190.3191017
0526_04.csv,0526_04_mesh_10.ply,304.882,347.136,24.068,5.508,5.952,0.058,190.2375345
0526_12.csv,0526_12_mesh_14.ply,337.163,368.028,20.677,5.731,5.47,0.064,189.8191676
0524_16.csv,0524_16_mesh_2.ply,1121.776,855.182,40.875,7.299,7.814,0.212,188.9860364
0526_04.csv,0526_04_mesh_8.ply,1013.808,1000.633,62.096,9.568,8.951,0.186,183.4666919
0526_04.csv,0526_04_mesh_14.ply,197.154,222.835,16.418,5.798,4.745,0.036,182.5983749
0526_07.csv,0526_07_mesh_3.ply,49.794,107.167,9.692,5.066,3.516,0.009,180.744668
0524_22.csv,0524_22_mesh_12.ply,77.54,117.247,8.447,5.292,4.295,0.014,180.5519732
0526_07.csv,0526_07_mesh_16.ply,118.445,137.683,6.896,7.637,5.117,0.021,177.2974798
0524_21.csv,0524_21_mesh_7.ply,403.88,381.357,19.776,7.454,6.334,0.071,175.7947905
0524_22.csv,0524_22_mesh_4.ply,143.537,351.014,56.735,13.448,3.706,0.025,174.1711196
0526_05.csv,0526_05_mesh_4.ply,65.945,203.299,18.617,6.961,3.234,0.011,166.8056714
0526_07.csv,0526_07_mesh_10.ply,127.009,194.371,15.723,5.437,3.682,0.021,165.3426135
0526_07.csv,0526_07_mesh_18.ply,105.671,191.015,18.342,6.141,3.568,0.013,123.023346
0526_05.csv,0526_05_mesh_7.ply,49.025,140.163,21.499,5.996,3.278,0.006,122.3865375
0526_01.csv,0526_01_mesh_1.ply,1674.983,2012.151,133.78,23.216,12.133,0.1289,76.95600493
0526_02.csv,0526_02_mesh_5.ply,5407.252,2864.77,93.092,13.997,13.473,0.1461,27.01926968
