Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
20,0408_13.csv,0408_13_mesh_26.ply,90.593,208.839,17.451,4.652,3.847,0.018,198.6908481
10,0406_01.csv,0406_01_mesh_14.ply,48.012,114.507,16.599,5.95,4.992,0.018,374.9062734
6,0403_16.csv,0403_16_mesh_6.ply,73.214,219.105,33.832,6.118,6.411,0.018,245.854618
20,0409_01.csv,0409_01_mesh_7.ply,82.327,179.163,27.015,6.66,2.855,0.019,230.7869836
14,0407_08.csv,0407_08_mesh_16.ply,69.263,153.915,23.164,5.434,3.339,0.019,274.3167348
10,0406_02.csv,0406_02_mesh_4.ply,53.022,107.94,11.433,4.408,3.452,0.019,358.3418204
16,0407_18.csv,0407_18_mesh_21.ply,106.926,205.355,11.399,9.91,3.458,0.019,177.6929839
20,0408_14.csv,0408_14_mesh_18.ply,59.257,131.83,19.39,3.96,3.584,0.019,320.6372243
20,0409_01.csv,0409_01_mesh_14.ply,71.205,113.262,12.807,3.218,3.837,0.019,266.8351942
18,0408_04.csv,0408_04_mesh_7.ply,43.942,189.637,23.444,14.528,4.033,0.019,432.388148
20,0408_14.csv,0408_14_mesh_3.ply,72.608,217.577,16.813,9.47,4.039,0.019,261.6791538
16,0407_20.csv,0407_20_mesh_7.ply,65.215,144.39,20.859,7.501,2.907,0.02,306.6779115
6,0403_16.csv,0403_16_mesh_8.ply,63.776,159.224,16.747,9.978,3.143,0.02,313.5975916
18,0408_03.csv,0408_03_mesh_18.ply,93.914,147.631,15.562,5.069,3.628,0.02,212.9607939
12,0406_14.csv,0406_14_mesh_9.ply,71.244,137.02,16.681,9.283,3.689,0.02,280.7253944
20,0408_14.csv,0408_14_mesh_9.ply,82.778,189.244,17.955,8.873,3.951,0.02,241.6100896
4,0403_07.csv,0403_07_mesh_7.ply,54.531,109.873,10.223,4.584,4.286,0.02,366.7638591
20,0408_14.csv,0408_14_mesh_17.ply,74.301,129.179,13.279,3.827,4.427,0.02,269.1753812
20,0409_01.csv,0409_01_mesh_28.ply,88.853,237.64,18.959,12.09,7.462,0.02,225.0908804
6,0404_08.csv,0404_08_mesh_4.ply,59.787,126.689,16.573,4.179,2.788,0.021,351.2469266
14,0407_08.csv,0407_08_mesh_2.ply,45.726,321.695,24.417,9.272,2.943,0.021,459.2573153
6,0403_13.csv,0403_13_mesh_9.ply,52.127,137.965,26.485,3.39,3.104,0.021,402.8622403
20,0408_14.csv,0408_14_mesh_24.ply,55.183,121.364,18.267,3.359,3.227,0.021,380.5519816
16,0407_20.csv,0407_20_mesh_24.ply,79.415,165.203,22.46,4.417,3.292,0.021,264.4336712
8,0405_02.csv,0405_02_mesh_4.ply,83.29,219.61,36.677,4.619,3.391,0.021,252.1311082
16,0407_19.csv,0407_19_mesh_8.ply,69.585,124.702,12.487,4.829,3.72,0.021,301.7891787
6,0403_16.csv,0403_16_mesh_5.ply,76.136,183.706,21.657,16.015,3.953,0.021,275.8222129
16,0407_20.csv,0407_20_mesh_15.ply,91.966,190.837,22.233,7.092,4.033,0.021,228.345258
18,0408_03.csv,0408_03_mesh_10.ply,92.638,162.036,13.52,6.533,4.709,0.021,226.6888318
4,0403_07.csv,0403_07_mesh_4.ply,74.61,247.522,47.281,7.688,4.764,0.021,281.4636108
20,0409_01.csv,0409_01_mesh_21.ply,94.568,218.42,36.383,6.33,5,0.021,222.0624313
18,0408_04.csv,0408_04_mesh_4.ply,81.577,206.205,18.944,5.778,5.435,0.021,257.4254998
18,0408_05.csv,0408_05_mesh_10.ply,122.82,125.815,31.968,9.335,6.79,0.021,170.9819248
6,0404_07.csv,0404_07_mesh_12.ply,61.489,134.642,15.165,5.117,2.865,0.022,357.7875718
20,0409_01.csv,0409_01_mesh_25.ply,87.621,168.296,21.49,7.368,3.507,0.022,251.0813618
18,0408_04.csv,0408_04_mesh_15.ply,62.614,100.185,6.817,6.423,3.517,0.022,351.359121
16,0407_20.csv,0407_20_mesh_1.ply,64.694,129.495,16.013,4.505,3.591,0.022,340.0624478
16,0407_20.csv,0407_20_mesh_8.ply,88.015,138.623,14.001,4.756,3.716,0.022,249.9573936
20,0408_13.csv,0408_13_mesh_14.ply,100.93,181.285,16.224,4.909,3.77,0.022,217.9728525
20,0409_02.csv,0409_02_mesh_10.ply,89.138,192.448,28.748,6.589,3.973,0.022,246.8083197
16,0407_20.csv,0407_20_mesh_12.ply,64.333,133.913,13.643,4.888,4.007,0.022,341.9706838
16,0407_20.csv,0407_20_mesh_14.ply,84.165,164.038,13.726,8.578,4.21,0.022,261.3913147
12,0406_13.csv,0406_13_mesh_14.ply,37.316,334.141,27.063,9.36,5.896,0.022,589.5594383
20,0408_12.csv,0408_12_mesh_14.ply,36.429,165.566,12.693,7.252,1.952,0.023,631.3651212
16,0407_20.csv,0407_20_mesh_16.ply,18.399,166.751,28.772,4.152,2.694,0.023,1250.067938
20,0409_01.csv,0409_01_mesh_29.ply,44.841,113.752,11.612,9.101,2.853,0.023,512.9234406
16,0407_19.csv,0407_19_mesh_23.ply,107.806,214.374,24.861,6.323,3.487,0.023,213.3461959
20,0408_13.csv,0408_13_mesh_3.ply,35.637,228.15,15.636,7.435,3.946,0.023,645.3966383
20,0408_14.csv,0408_14_mesh_16.ply,107.292,164.704,13.54,5.859,3.957,0.023,214.368266
20,0408_14.csv,0408_14_mesh_28.ply,84.562,118.212,9.969,4.384,4.184,0.023,271.9897826
16,0407_19.csv,0407_19_mesh_7.ply,2.958,251.772,14.632,9.61,4.717,0.023,7775.524003
14,0407_08.csv,0407_08_mesh_5.ply,78.338,201.67,27.445,10.948,3.458,0.024,306.3647272
20,0408_14.csv,0408_14_mesh_1.ply,115.044,250.76,27.811,10.986,3.757,0.024,208.6158339
16,0407_20.csv,0407_20_mesh_26.ply,109.755,155.199,15.151,4.069,3.913,0.024,218.6688534
20,0408_14.csv,0408_14_mesh_30.ply,74.064,102.5,7.588,5.03,4.271,0.024,324.04407
6,0404_07.csv,0404_07_mesh_9.ply,88.738,114.154,7.541,4.712,4.759,0.024,270.4591043
16,0407_19.csv,0407_19_mesh_6.ply,160.312,228.533,14.505,10.404,4.794,0.024,149.7080693
18,0408_04.csv,0408_04_mesh_19.ply,70.912,420.252,31.643,13.422,3.457,0.025,352.549639
20,0408_14.csv,0408_14_mesh_7.ply,83.276,149.405,15.795,3.99,3.668,0.025,300.2065421
14,0407_08.csv,0407_08_mesh_10.ply,73.322,105.692,9.119,4.405,4.317,0.025,340.961785
14,0407_08.csv,0407_08_mesh_7.ply,78.953,191.281,26.797,4.365,4.504,0.025,316.6440794
8,0405_01.csv,0405_01_mesh_3.ply,72.352,173.661,20.38,10.056,6.525,0.025,345.53295
18,0408_04.csv,0408_04_mesh_2.ply,124.058,242.584,28.722,6.779,3.734,0.026,209.5793903
6,0404_07.csv,0404_07_mesh_18.ply,64.115,165.792,25.711,7.784,3.819,0.026,405.5213289
20,0408_13.csv,0408_13_mesh_17.ply,97.002,174.767,13.183,4.867,4.164,0.026,268.0357106
10,0406_01.csv,0406_01_mesh_5.ply,66.169,159.177,17.627,8.383,4.458,0.026,392.9332467
8,0405_01.csv,0405_01_mesh_1.ply,90.645,336.845,47.027,13.648,5.469,0.026,286.8332506
12,0406_14.csv,0406_14_mesh_7.ply,106.429,236.196,35.877,8.442,5.727,0.026,244.2943183
6,0403_13.csv,0403_13_mesh_8.ply,89.721,219.752,32.184,9.189,3.07,0.027,300.932892
20,0408_14.csv,0408_14_mesh_35.ply,88.824,212.973,33.048,4.277,3.095,0.027,303.9718995
20,0408_14.csv,0408_14_mesh_6.ply,89.324,178.983,23.553,4.173,3.141,0.027,302.2703865
20,0408_13.csv,0408_13_mesh_5.ply,73.389,182.469,14.786,5.049,3.393,0.027,367.9025467
14,0407_08.csv,0407_08_mesh_15.ply,91.799,169.473,18.222,4.151,3.61,0.027,294.120851
16,0407_19.csv,0407_19_mesh_10.ply,79.705,198.164,29.678,5.813,3.697,0.027,338.7491374
18,0408_03.csv,0408_03_mesh_7.ply,97.582,258.835,26.693,7.478,4.439,0.027,276.6903732
16,0407_19.csv,0407_19_mesh_1.ply,56.838,323.952,18.815,10.633,6.192,0.027,475.034308
20,0408_14.csv,0408_14_mesh_19.ply,119.765,215.561,26.34,3.739,3.337,0.028,233.7911744
6,0403_15.csv,0403_15_mesh_5.ply,91.022,153.568,15.759,3.554,3.608,0.028,307.6179385
18,0408_04.csv,0408_04_mesh_5.ply,121.749,280.073,28.171,9.211,3.739,0.028,229.9813551
6,0404_07.csv,0404_07_mesh_16.ply,96.539,204.449,28.191,5.132,3.895,0.028,290.0382229
6,0403_16.csv,0403_16_mesh_16.ply,115.442,271.094,36.083,8.592,4.109,0.028,242.5460404
18,0408_03.csv,0408_03_mesh_1.ply,91.696,177.059,12.041,9.827,4.239,0.028,305.3568313
16,0407_20.csv,0407_20_mesh_6.ply,90.879,215.087,18.861,10.305,5.954,0.028,308.1019818
16,0407_19.csv,0407_19_mesh_17.ply,106.268,291.17,34.898,7.777,6.455,0.028,263.4847743
16,0407_19.csv,0407_19_mesh_3.ply,96.695,220.199,32.896,6.986,6.984,0.028,289.5702984
18,0408_04.csv,0408_04_mesh_24.ply,30.078,179.505,22.552,8.059,3.226,0.029,964.1598511
18,0408_02.csv,0408_02_mesh_13.ply,24.624,257.111,18.986,10.17,3.889,0.029,1177.712801
18,0408_04.csv,0408_04_mesh_14.ply,93.526,232.752,33.497,12.364,4.515,0.029,310.074204
20,0408_14.csv,0408_14_mesh_14.ply,116.437,181.208,11.922,15.889,4.568,0.029,249.0617244
16,0407_20.csv,0407_20_mesh_9.ply,92.383,223.371,35.502,7.666,9.256,0.029,313.910568
20,0408_14.csv,0408_14_mesh_21.ply,66.389,155.318,26.34,4.432,2.967,0.03,451.8820889
6,0403_16.csv,0403_16_mesh_18.ply,113.838,246.369,35.901,6.37,3.275,0.03,263.5323881
8,0405_01.csv,0405_01_mesh_11.ply,97.038,209.942,34.487,5.304,3.335,0.03,309.1572374
20,0408_12.csv,0408_12_mesh_9.ply,44.667,185.837,19.229,10.249,3.518,0.03,671.6367788
6,0403_15.csv,0403_15_mesh_12.ply,116.288,188.267,21.415,4.61,4.183,0.03,257.9801871
20,0408_12.csv,0408_12_mesh_3.ply,63.92,230.35,16.967,11.019,4.434,0.03,469.3366708
