Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0423_10.csv,0423_10_mesh_6.ply,291.296,431.124,41.178,7.771,4.459,0.077
0423_24.csv,0423_24_mesh_8.ply,225.856,261.161,13.243,7.712,6.213,0.077
0424_09.csv,0424_09_mesh_24.ply,289.057,398.632,27.024,11.387,5.503,0.078
0422_10.csv,0422_10_mesh_18.ply,187.384,351.145,39.195,8.601,5.45,0.079
0423_21.csv,0423_21_mesh_3.ply,247.344,386.414,37.967,6.651,5.514,0.079
0424_07.csv,0424_07_mesh_1.ply,306.553,503.764,39.167,13.177,7.371,0.08
0422_01.csv,0422_01_mesh_3.ply,240.037,281.967,21.4,5.247,4.819,0.081
0423_09.csv,0423_09_mesh_12.ply,282.354,420.502,39.556,13.118,3.935,0.082
0424_06.csv,0424_06_mesh_13.ply,274.126,718.008,52.247,22.791,9.686,0.082
0423_05.csv,0423_05_mesh_3.ply,206.501,254.691,18.399,6.334,4.923,0.083
0423_25.csv,0423_25_mesh_14.ply,198.342,361.931,36.721,13.448,6.084,0.083
0422_02.csv,0422_02_mesh_5.ply,230.871,273.141,22.217,5.037,5.106,0.084
0423_24.csv,0423_24_mesh_1.ply,285.374,319.548,22.298,7.463,5.525,0.084
0422_09.csv,0422_09_mesh_1.ply,56.036,267.199,57.792,8.044,5.512,0.086
0423_12.csv,0423_12_mesh_4.ply,247.719,270.564,22.583,6.22,5.414,0.086
0423_25.csv,0423_25_mesh_4.ply,108.882,344.899,63.021,10.922,5.373,0.086
0422_08.csv,0422_08_mesh_4.ply,293.893,522.656,71.331,21.087,9.355,0.087
0422_02.csv,0422_02_mesh_8.ply,302.017,253.658,8.709,8.177,7.871,0.088
0423_05.csv,0423_05_mesh_8.ply,264.535,402.346,32.648,15.545,7.377,0.088
0422_02.csv,0422_02_mesh_17.ply,221.637,343.096,35.667,7.923,4.839,0.089
0423_25.csv,0423_25_mesh_12.ply,332.516,406.917,31.305,7.06,5.098,0.089
0422_08.csv,0422_08_mesh_14.ply,306.52,373.745,30.786,6.376,4.877,0.09
0423_10.csv,0423_10_mesh_5.ply,332.068,708.272,88.649,42.458,10.468,0.091
0423_25.csv,0423_25_mesh_5.ply,190.884,428.151,51.44,30.06,10.136,0.091
0422_01.csv,0422_01_mesh_1.ply,235.054,406.478,42.925,15.584,4.896,0.092
0422_02.csv,0422_02_mesh_16.ply,302.141,351.402,26.676,5.837,4.864,0.094
0422_07.csv,0422_07_mesh_8.ply,283.11,369.263,34.431,7.635,4.455,0.094
0423_09.csv,0423_09_mesh_11.ply,272.285,253.88,10.689,9.522,6.576,0.094
0423_12.csv,0423_12_mesh_2.ply,358.542,426.722,25.359,7.396,7.096,0.094
0423_15.csv,0423_15_mesh_3.ply,366.037,357.479,18.985,7.273,7.006,0.094
0423_16.csv,0423_16_mesh_7.ply,259.885,423.449,39.561,11.847,6.692,0.095
0424_02.csv,0424_02_mesh_11.ply,76.865,359.995,80.042,9.116,4.461,0.097
0423_18.csv,0423_18_mesh_14.ply,369.789,477.471,47.11,12.334,5.822,0.099
0423_10.csv,0423_10_mesh_11.ply,314.07,561.937,67.118,12.94,6.593,0.1
0422_07.csv,0422_07_mesh_15.ply,272.725,333.04,18.309,9.024,6.878,0.101
0424_02.csv,0424_02_mesh_14.ply,304.888,411.384,37.002,8.714,5.663,0.101
0423_05.csv,0423_05_mesh_5.ply,463.419,460.114,29.126,6.399,5.824,0.102
0423_26.csv,0423_26_mesh_1.ply,341.244,578.872,55.353,16.281,9.785,0.102
