Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
1,0330_07.csv,0330_07_mesh_17.ply,34.121,81.518,11.165,3.092,2.965,0.012,351.6895753
17,0407_27.csv,0407_27_mesh_8.ply,62.521,221.386,32.633,18.444,6.365,0.022,351.8817677
1,0330_07.csv,0330_07_mesh_14.ply,195.803,337.487,28.926,11.995,4.287,0.069,352.3950093
7,0404_02.csv,0404_02_mesh_12.ply,207.006,264.475,21.215,6.326,4.131,0.073,352.6467832
1,0330_04.csv,0330_04_mesh_1.ply,269.262,435.761,43.106,7.303,4.335,0.095,352.8162162
5,0403_12.csv,0403_12_mesh_8.ply,707.454,830.202,56.376,14.899,15.43,0.25,353.3798664
17,0407_25.csv,0407_25_mesh_10.ply,87.648,165.544,20.17,4.388,3.073,0.031,353.6874772
17,0407_25.csv,0407_25_mesh_22.ply,112.928,261.646,37.365,9.074,4.311,0.04,354.2079909
13,0407_04.csv,0407_04_mesh_22.ply,98.751,238.216,21.779,15.145,4.236,0.035,354.4267906
11,0406_06.csv,0406_06_mesh_7.ply,47.903,122.881,9.658,9.569,4.707,0.017,354.8838277
13,0407_01.csv,0407_01_mesh_7.ply,1357.474,1437.107,85.167,15.515,19.408,0.483,355.8079197
17,0407_24.csv,0407_24_mesh_17.ply,2137.339,1371.394,57.067,11.821,10.023,0.762,356.5180816
13,0407_04.csv,0407_04_mesh_3.ply,72.813,216.753,33.269,16.767,2.804,0.026,357.079093
5,0403_12.csv,0403_12_mesh_14.ply,296.003,443.474,48.532,8.739,5.211,0.106,358.1044787
1,0330_02.csv,0330_02_mesh_2.ply,251.039,352.675,25.583,5.242,6.01,0.09,358.5100323
5,0403_12.csv,0403_12_mesh_1.ply,244.729,462.3,35.94,12.399,5.322,0.088,359.5814145
1,0330_07.csv,0330_07_mesh_10.ply,52.814,126.672,18.043,3.498,3.44,0.019,359.7530958
11,0406_07.csv,0406_07_mesh_5.ply,22.177,68.611,10.172,6.045,2.353,0.008,360.7340939
1,0330_07.csv,0330_07_mesh_13.ply,38.639,90.782,12.217,3.15,3.041,0.014,362.3282176
15,0407_13.csv,0407_13_mesh_16.ply,82.489,184.59,14.11,11.483,4.383,0.03,363.684855
17,0407_26.csv,0407_26_mesh_2.ply,79.719,158.486,20.125,4.387,3.174,0.029,363.7777694
19,0408_09.csv,0408_09_mesh_21.ply,82.339,237.587,34.748,10.314,4.775,0.03,364.3473931
5,0403_12.csv,0403_12_mesh_12.ply,463.559,506.251,31.85,7.151,7.675,0.169,364.5706372
3,0331_09.csv,0331_09_mesh_7.ply,249.398,412.314,7.49,42.954,4.593,0.091,364.8786277
5,0403_12.csv,0403_12_mesh_17.ply,142.464,232.85,18.295,9.462,4.697,0.052,365.0044924
17,0407_23.csv,0407_23_mesh_11.ply,139.315,166.246,10.429,5.896,4.619,0.051,366.0768761
9,0405_08.csv,0405_08_mesh_21.ply,51.843,165.998,17.563,4.917,3.233,0.019,366.4911367
3,0331_10.csv,0331_10_mesh_3.ply,695.78,990.207,79.878,23.04,10.854,0.255,366.4951565
1,0330_02.csv,0330_02_mesh_5.ply,351.976,500.638,43.324,8.799,7.653,0.129,366.5022615
9,0405_06.csv,0405_06_mesh_4.ply,1177.027,1147.21,58.925,33.737,18.415,0.433,367.876013
19,0408_09.csv,0408_09_mesh_27.ply,84.005,204.811,21.381,9.505,4.357,0.031,369.0256532
15,0407_13.csv,0407_13_mesh_25.ply,270.863,301.504,13.929,9.789,7.517,0.1,369.1903287
