Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0506_12.csv,0506_12_mesh_2.ply,38.62,125.141,8.773,7.674,3.581,0.014,362.5064733
0506_05.csv,0506_05_mesh_18.ply,107.837,215.299,13.275,5.846,5.39,0.039,361.6569452
0508_02.csv,0508_02_mesh_6.ply,22.153,81.982,8.264,7.078,3.339,0.008,361.1249041
0506_01.csv,0506_01_mesh_1.ply,144.115,198.621,14.705,8.747,5.627,0.052,360.8229539
0506_10.csv,0506_10_mesh_14.ply,1454.859,1286.865,35.357,18.553,11.089,0.524,360.1723603
0506_05.csv,0506_05_mesh_22.ply,44.565,125.619,6.685,8.771,4.142,0.016,359.0261416
0507_12.csv,0507_12_mesh_4.ply,443.019,642.49,41.834,6.653,4.985,0.159,358.9010855
0507_11.csv,0507_11_mesh_13.ply,1571.25,934.342,34.191,13.271,11.689,0.563,358.3134447
0507_05.csv,0507_05_mesh_2.ply,19.571,63.469,8.972,4.194,3.233,0.007,357.6720658
0508_02.csv,0508_02_mesh_9.ply,19.623,75.424,6.766,6.169,2.77,0.007,356.7242522
0507_01.csv,0507_01_mesh_6.ply,317.22,419.196,22.583,7.6,4.764,0.113,356.2196583
0507_02.csv,0507_02_mesh_5.ply,971.868,612.067,20.233,13.735,8.052,0.346,356.015426
0507_07.csv,0507_07_mesh_2.ply,141.02,232.104,19.17,8.931,4.885,0.05,354.5596369
0508_01.csv,0508_01_mesh_19.ply,33.892,158.717,17.011,6.899,3.119,0.012,354.0658562
0508_01.csv,0508_01_mesh_13.ply,460.35,477.943,27.686,8.754,7.027,0.162,351.9061584
0507_03.csv,0507_03_mesh_25.ply,28.47,116.522,13.957,4.079,2.271,0.01,351.2469266
0507_12.csv,0507_12_mesh_15.ply,162.347,288.249,16.076,7.341,6.005,0.057,351.0998047
0507_01.csv,0507_01_mesh_8.ply,356.828,845.211,29.906,16.458,9.933,0.125,350.3088323
0506_05.csv,0506_05_mesh_15.ply,68.754,153.713,6.785,6.907,4.026,0.024,349.0705995
0506_02.csv,0506_02_mesh_3.ply,20.056,98.415,9.065,6.897,3.273,0.007,349.0227363
0507_01.csv,0507_01_mesh_7.ply,1744.364,1897.068,76.443,31.663,9.296,0.607,347.9778303
0506_01.csv,0506_01_mesh_2.ply,1343.861,1561.284,94.896,24.54,26.74,0.466,346.7620535
0506_04.csv,0506_04_mesh_13.ply,310.449,438.087,34.166,5.836,4.858,0.107,344.6620862
0507_03.csv,0507_03_mesh_22.ply,58.405,151.738,19.088,4.366,2.955,0.02,342.4364352
0507_02.csv,0507_02_mesh_19.ply,129.29,169.654,9.161,6.761,4.968,0.044,340.3202104
0505_01.csv,0505_01_mesh_3.ply,1083.303,767.482,25.942,12.012,8.534,0.368,339.7018193
0506_01.csv,0506_01_mesh_18.ply,86.069,123.581,8.199,6.36,4.973,0.029,336.9389676
0508_02.csv,0508_02_mesh_13.ply,29.721,72.7,6.855,6.423,2.989,0.01,336.462434
0506_08.csv,0506_08_mesh_5.ply,386.403,511.938,60.039,6.241,5.03,0.13,336.4363113
